,ts_code,trade_date,close,open,high,low,vol,amount
179,000001.SH,20040930,1396.7,1340.75,1496.214,1259.432,41552204300.0,243466619090.0
178,000001.SH,20041029,1320.536,1395.669,1437.572,1289.873,26148282700.0,172146750519.0
177,000001.SH,20041130,1340.771,1317.658,1387.342,1290.988,30005794500.0,183054069245.0
176,000001.SH,20041231,1266.496,1340.916,1352.455,1264.152,22127867200.0,126738170972.0
175,000001.SH,20050131,1191.823,1260.782,1268.856,1189.211,19709110000.0,106512562783.0
174,000001.SH,20050228,1306.003,1189.501,1328.533,1187.26,22335564000.0,124718924706.0
173,000001.SH,20050331,1181.236,1305.249,1326.076,1162.031,31117798100.0,181575963414.0
172,000001.SH,20050429,1159.146,1180.373,1254.319,1135.733,31892298600.0,175702723240.0
171,000001.SH,20050531,1060.738,1160.62,1165.39,1043.276,18113184700.0,87684325040.0
170,000001.SH,20050630,1080.938,1059.61,1146.417,998.228,38621113200.0,183688392603.0
169,000001.SH,20050729,1083.033,1077.313,1097.634,1004.081,30635280800.0,131656033164.0
168,000001.SH,20050831,1162.798,1082.796,1201.755,1081.118,63610296000.0,281300131136.0
167,000001.SH,20050930,1155.614,1163.7,1223.565,1129.054,54583932400.0,251233820348.0
166,000001.SH,20051031,1092.817,1153.672,1165.666,1067.407,26745026700.0,127957218509.0
165,000001.SH,20051130,1099.261,1091.677,1122.879,1074.298,31475160200.0,135202557203.0
164,000001.SH,20051230,1161.057,1098.784,1173.064,1074.007,29656623100.0,135785019061.0
163,000001.SH,20060125,1258.046,1163.878,1262.087,1161.906,45169508600.0,221808161769.0
162,000001.SH,20060228,1299.03,1263.003,1304.613,1256.808,46654996400.0,229474461450.0
161,000001.SH,20060331,1298.295,1299.154,1313.125,1238.156,50281289700.0,249790298820.0
160,000001.SH,20060428,1440.223,1298.684,1444.714,1298.684,82596950000.0,435875447689.0
159,000001.SH,20060531,1641.3,1446.992,1678.599,1446.992,115630621800.0,669010507788.0
158,000001.SH,20060630,1672.211,1639.673,1695.58,1512.521,98591190500.0,558450174983.0
157,000001.SH,20060731,1612.733,1677.311,1757.472,1611.163,85715207400.0,501505155371.0
156,000001.SH,20060831,1658.638,1619.635,1667.53,1541.413,63174390200.0,342440439912.0
155,000001.SH,20060929,1752.424,1658.66,1755.691,1634.026,78239199800.0,427197982549.0
154,000001.SH,20061031,1837.993,1768.144,1842.73,1753.494,80209931300.0,432545863472.0
153,000001.SH,20061130,2099.289,1838.68,2102.057,1833.201,119331448000.0,688378326329.0
152,000001.SH,20061229,2675.474,2106.295,2698.904,2084.267,162657736800.0,1024335730724.0
151,000001.SH,20070131,2786.335,2728.188,2994.282,2617.019,231772809800.0,1719902497357.0
150,000001.SH,20070228,2881.073,2744.814,3049.771,2541.525,147265707700.0,1164620353243.0
149,000001.SH,20070330,3183.983,2877.203,3273.727,2723.065,243630441900.0,2108466575601.0
148,000001.SH,20070430,3841.272,3196.587,3851.35,3196.587,291092879200.0,3200557591921.0
147,000001.SH,20070531,4109.654,3937.938,4335.963,3845.227,291421034400.0,3928113429827.0
146,000001.SH,20070629,3820.703,4120.628,4311.997,3404.146,265021802200.0,3532884656137.0
145,000001.SH,20070731,4471.032,3800.233,4476.626,3563.544,169546531500.0,2158545788669.0
144,000001.SH,20070831,5218.825,4488.774,5235.157,4284.871,240792867800.0,3559760893743.0
143,000001.SH,20070928,5552.301,5257.777,5560.417,5025.336,191885545300.0,3046095333107.0
142,000001.SH,20071031,5954.765,5683.31,6124.044,5462.013,134066493400.0,2410240824468.0
141,000001.SH,20071130,4871.778,5978.939,6005.131,4778.727,100700589100.0,1738405403353.0
140,000001.SH,20071228,5261.563,4838.564,5336.499,4798.014,125150564000.0,1973215164810.0
139,000001.SH,20080131,4383.393,5265.0,5522.778,4330.697,177173032700.0,3075450297599.0
138,000001.SH,20080229,4348.543,4388.254,4695.802,4123.305,86116985100.0,1422793133449.0
137,000001.SH,20080331,3472.713,4323.698,4472.151,3357.229,129091626700.0,1941457970715.0
136,000001.SH,20080430,3693.106,3461.085,3705.093,2990.788,136806175600.0,1863262798314.0
135,000001.SH,20080530,3433.354,3739.797,3786.024,3333.951,142480818900.0,1977507212237.0
134,000001.SH,20080630,2736.103,3426.195,3483.61,2693.404,101834965300.0,1129295082260.0
133,000001.SH,20080731,2775.717,2743.164,2952.039,2566.528,144977432300.0,1529942534587.0
132,000001.SH,20080829,2397.369,2751.02,2830.764,2284.585,91522163100.0,787334388182.0
131,000001.SH,20080926,2293.784,2380.468,2380.468,1802.331,106061227700.0,810081573924.0
