date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/1/9,4157.54,4191.28,4189.3,4153.5,139034304,29.14,0.7,4145.682,4091.039,4059.931,149663571.2,130055522.4,107023846.4
2018/1/10,4187.2,4211.05,4207.81,4175.14,151121664,18.51,0.44,4164.966,4106.458,4069.52,149517459.2,136055810.4,110362993.6
2018/1/11,4197.11,4211.8,4205.59,4181.96,121578536,-2.22,-0.05,4180.322,4127.896,4077.295,146924408,137698306.4,112564613.6
2018/1/12,4205.14,4227.39,4225,4199.03,111354800,19.41,0.46,4197.572,4148.506,4087.238,139393393.6,136979497.6,114093910.4
2018/1/15,4229.84,4262.93,4225.24,4216.36,170907888,0.24,0.01,4210.588,4167.945,4099.457,138799438.4,145021618.4,118187085.6
2018/1/16,4215.62,4260.21,4258.47,4213.13,161494960,33.23,0.79,4224.422,4185.052,4113.116,143291569.6,146477570.4,122369164.8
2018/1/17,4261.78,4283.34,4248.12,4230.54,214311040,-10.35,-0.24,4232.484,4198.725,4123.755,155929444.8,152723452,129208267.6
2018/1/18,4259.38,4292.64,4271.42,4246.68,172032832,23.3,0.55,4245.65,4212.986,4135.802,166020304,156472356,133279684
2018/1/19,4281.94,4316.57,4285.4,4269.62,209490576,13.98,0.33,4257.73,4227.651,4146.679,185647459.2,162520426.4,138912408.4
2018/1/22,4276.48,4338.48,4336.6,4275.9,174643200,51.2,1.2,4280.002,4245.295,4160.779,186394521.6,162596980,143970884
2018/1/23,4346.89,4383.57,4382.61,4346.79,201867584,46.01,1.06,4304.83,4264.626,4177.833,194469046.4,168880308,149467915.2
2018/1/24,4389.45,4397.82,4389.89,4349.09,219818880,7.28,0.17,4333.184,4282.834,4194.646,195570614.4,175750029.6,155902920
2018/1/25,4381.98,4392.2,4365.08,4336.24,195374944,-24.81,-0.56,4351.916,4298.783,4213.34,200239036.8,183129670.4,160413988.4
2018/1/26,4352.22,4403.34,4381.3,4351.49,177227248,16.22,0.37,4371.096,4314.413,4231.46,193786371.2,189716915.2,163348206.4
2018/1/29,4387.06,4395.91,4302.02,4287.11,191100352,-79.28,-1.81,4364.18,4322.091,4245.018,197077801.6,191736161.6,168378890
2018/1/30,4286.68,4308.51,4256.1,4251.57,139034720,-45.92,-1.07,4338.878,4321.854,4253.453,184511228.8,189490137.6,167983854
2018/1/31,4234.11,4287.86,4275.9,4232.77,145210160,19.8,0.47,4316.08,4324.632,4261.679,169589484.8,182580049.6,167651750.8
