,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
352,399001.SZ,20180419,10598.353,10502.3628,10646.7019,10485.4124,10491.1497,107.2033,1.0218,203988578.0,286889140.7
351,399001.SZ,20180420,10408.9103,10571.9907,10619.1738,10392.6904,10598.353,-189.4427,-1.7875,196805692.0,262162356.7
350,399001.SZ,20180423,10330.629,10416.7783,10471.2099,10228.0937,10408.9103,-78.2813,-0.7521,179579807.0,235947174.2
349,399001.SZ,20180424,10556.8221,10325.5102,10556.8221,10325.5102,10330.629,226.1931,2.1895,190970006.0,256845970.5
348,399001.SZ,20180425,10547.0987,10503.9412,10579.1778,10488.8741,10556.8221,-9.7234,-0.0921,183348346.0,258197683.6
347,399001.SZ,20180426,10292.1195,10495.027,10508.0126,10290.3656,10547.0987,-254.9792,-2.4175,186332439.0,261166243.9
346,399001.SZ,20180427,10324.4679,10353.0232,10382.767,10239.9742,10292.1195,32.3484,0.3143,164776511.0,232558977.5
345,399001.SZ,20180502,10342.8457,10356.192,10433.2799,10283.5157,10324.4679,18.3778,0.178,160567095.0,216936706.7
344,399001.SZ,20180503,10458.6223,10329.1609,10459.3851,10228.2571,10342.8457,115.7766,1.1194,177743321.0,234010634.0
343,399001.SZ,20180504,10426.1884,10428.8459,10490.0569,10411.8262,10458.6223,-32.4339,-0.3101,150582422.0,211943199.1
342,399001.SZ,20180507,10626.5086,10456.4291,10626.5086,10450.494,10426.1884,200.3202,1.9213,174177180.0,243704274.7
341,399001.SZ,20180508,10707.804,10632.112,10721.9839,10630.5801,10626.5086,81.2954,0.765,182770938.0,254773009.9
340,399001.SZ,20180509,10689.0715,10693.215,10705.1471,10639.9199,10707.804,-18.7325,-0.1749,169498644.0,229130519.4
339,399001.SZ,20180510,10729.7655,10706.7286,10742.641,10651.8659,10689.0715,40.694,0.3807,180925300.0,247278039.4
338,399001.SZ,20180511,10634.3004,10748.8902,10752.8248,10634.2271,10729.7655,-95.4651,-0.8897,180171412.0,246766583.1
337,399001.SZ,20180514,10671.4575,10649.1116,10723.7873,10641.2943,10634.3004,37.1571,0.3494,169570273.0,234726448.9
336,399001.SZ,20180515,10747.9932,10692.8209,10747.9932,10632.5458,10671.4575,76.5357,0.7172,157932634.0,215123553.9
335,399001.SZ,20180516,10701.3231,10713.5914,10776.4345,10691.1404,10747.9932,-46.6701,-0.4342,165521883.0,227295355.7
334,399001.SZ,20180517,10635.4985,10702.065,10713.7126,10615.9224,10701.3231,-65.8246,-0.6151,150682885.0,206557215.6
333,399001.SZ,20180518,10672.5222,10623.9128,10679.5102,10557.7502,10635.4985,37.0237,0.3481,154568052.0,208174225.6
332,399001.SZ,20180521,10765.3476,10741.1872,10789.7576,10731.6071,10672.5222,92.8254,0.8698,191005737.0,258556054.4
331,399001.SZ,20180522,10765.8051,10754.7021,10765.8051,10689.5099,10765.3476,0.4575,0.0042,179543850.0,252476328.6
330,399001.SZ,20180523,10631.1235,10746.8167,10746.8167,10631.1235,10765.8051,-134.6816,-1.251,186496581.0,261399500.5
329,399001.SZ,20180524,10564.1271,10632.5036,10657.4477,10552.3466,10631.1235,-66.9964,-0.6302,158449317.0,221567398.6
328,399001.SZ,20180525,10448.2249,10550.6259,10576.8104,10435.9467,10564.1271,-115.9022,-1.0971,172760872.0,232126098.6
327,399001.SZ,20180528,10465.5372,10439.6479,10536.5725,10382.7165,10448.2249,17.3123,0.1657,169664088.0,229962071.9
326,399001.SZ,20180529,10349.065,10446.9876,10517.1374,10347.9395,10465.5372,-116.4722,-1.1129,168436143.0,229850989.6
325,399001.SZ,20180530,10105.7945,10203.6595,10252.148,10097.4764,10349.065,-243.2705,-2.3507,197606894.0,246263303.0
