,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
549,600036.SH,20170627,21.6315,23.178,21.4335,22.9706,21.7258,1.2448000000000015,5.7296,1075846.36,2541437.047
548,600036.SH,20170628,22.7348,23.0837,22.4425,22.4425,22.9706,-0.528100000000002,-2.299,737129.67,1774023.852
547,600036.SH,20170629,22.6311,22.9517,22.3199,22.7725,22.4425,0.33000000000000185,1.4704,594213.56,1432956.91
546,600036.SH,20170630,22.6311,22.8008,22.3482,22.5462,22.7725,-0.22630000000000194,-0.9937,406988.2,972087.189
545,600036.SH,20170703,22.4425,22.4425,21.9993,22.1785,22.5462,-0.36769999999999925,-1.6309,416238.71,979092.99
544,600036.SH,20170704,22.169,22.2539,21.5184,21.6881,22.1785,-0.49040000000000106,-2.2112,573636.8,1325615.809
543,600036.SH,20170705,21.6693,22.6782,21.5467,22.5368,21.6881,0.8487000000000009,3.9132,783996.96,1836342.521
542,600036.SH,20170706,22.3576,22.7631,22.0653,22.5934,22.5368,0.05659999999999954,0.2511,624333.0,1481675.281
541,600036.SH,20170707,22.4425,22.5368,21.7353,21.9333,22.5934,-0.6600999999999999,-2.9216,632179.85,1478551.36
540,600036.SH,20170710,21.9899,22.235,21.7353,21.9333,21.9333,0.0,0.0,372034.37,866708.205
539,600036.SH,20170711,21.905,22.9894,21.839,22.7065,21.9333,0.7731999999999992,3.5252,730383.07,1747996.95
538,600036.SH,20170712,22.7254,23.6401,22.5839,22.9517,22.7065,0.24520000000000053,1.0799,858003.91,2107028.263
537,600036.SH,20170713,22.9517,23.6212,22.8291,23.4798,22.9517,0.528100000000002,2.3009,559404.16,1386998.099
536,600036.SH,20170714,23.5646,23.9607,23.3289,23.7438,23.4798,0.26399999999999935,1.1244,508060.29,1271884.056
535,600036.SH,20170717,23.6683,24.187,23.3289,23.6778,23.7438,-0.06599999999999895,-0.278,709287.5,1788461.115
534,600036.SH,20170718,23.4798,23.6306,22.6688,23.1214,23.6778,-0.5564,-2.3499,645346.55,1583816.688
533,600036.SH,20170719,23.046,23.9229,23.0083,23.7815,23.1214,0.6600999999999999,2.8549,630770.91,1570233.807
532,600036.SH,20170720,23.6683,23.8098,23.3855,23.7626,23.7815,-0.018900000000002137,-0.0795,514337.44,1286272.353
531,600036.SH,20170721,23.6495,23.9135,23.2346,23.3289,23.7626,-0.4336999999999982,-1.8251,327647.47,818375.348
530,600036.SH,20170724,23.3572,24.2907,23.2629,24.2436,23.3289,0.9146999999999998,3.9209,625922.01,1587410.697
529,600036.SH,20170725,24.3284,24.7433,23.9512,24.0738,24.2436,-0.16980000000000217,-0.7004,743945.06,1922841.202
528,600036.SH,20170726,24.0644,24.5547,23.7249,24.0078,24.0738,-0.06599999999999895,-0.2742,463343.11,1184402.333
527,600036.SH,20170727,24.0267,24.6773,23.9512,24.4227,24.0078,0.4148999999999994,1.7282,434532.32,1124251.958
526,600036.SH,20170728,24.3001,24.517,24.0455,24.3096,24.4227,-0.11309999999999931,-0.4631,280361.97,720520.363
525,600036.SH,20170731,24.1775,24.4699,23.9324,24.1115,24.3096,-0.19810000000000016,-0.8149,341959.65,875073.761
524,600036.SH,20170801,24.121,24.6585,23.9041,24.649,24.1115,0.5375000000000014,2.2292,478065.69,1237126.956
523,600036.SH,20170802,24.6302,25.5354,24.5359,25.1016,24.649,0.45260000000000034,1.8362,606283.59,1619543.973
522,600036.SH,20170803,25.0073,25.1394,24.3661,24.4133,25.1016,-0.6883000000000017,-2.7421,510286.09,1338776.407
521,600036.SH,20170804,24.3944,24.6113,23.8758,24.0644,24.4133,-0.34890000000000043,-1.4291,489270.96,1252754.939
520,600036.SH,20170807,23.9512,24.6113,23.9512,24.4982,24.0644,0.4338000000000015,1.8027,309135.83,799024.681
519,600036.SH,20170808,24.4227,24.5736,24.1964,24.3756,24.4982,-0.12260000000000204,-0.5004,220463.46,569318.274
