,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1808,600036.SH,20120409,41165,4811.67,26992,3158.39,86565,10124.07,82030,9596.1,94756,11090.81,106840,12498.2,28260,3304.66,34883,4078.53,-7661,-877.57
1807,600036.SH,20120410,37319,4375.66,45298,5315.94,93112,10924.65,84325,9897.4,81358,9552.23,107561,12622.16,80718,9482.52,55322,6499.57,34874,4116.89
1806,600036.SH,20120411,60810,7156.14,28125,3313.84,113740,13392.18,120938,14241.3,117621,13846.42,98128,11564.53,123420,14556.56,168400,19831.64,-43104,-5042.78
1805,600036.SH,20120412,66706,7883.65,73588,8753.94,134576,15938.92,173103,20531.77,212297,25199.33,184927,21948.08,233948,27807.42,215908,25595.53,12536,1573.01
1804,600036.SH,20120413,74203,8903.01,51154,6143.37,120765,14492.3,136432,16387.24,144489,17345.23,133404,16016.16,119624,14387.31,138090,16581.09,-17966,-2136.18
1803,600036.SH,20120416,42371,5054.32,37318,4457.55,76268,9099.76,67719,8088.5,75311,8986.54,89093,10635.08,60763,7269.15,60584,7228.64,-27628,-3285.58
1802,600036.SH,20120417,36317,4314.89,20097,2389.13,85529,10165.55,60456,7188.07,69276,8230.18,65766,7817.66,32713,3886.65,77515,9202.41,-9069,-1072.25
1801,600036.SH,20120418,42267,5049.08,48292,5781.02,150858,18034.1,115401,13799.76,150369,17971.16,175391,20967.08,115504,13846.7,119914,14353.19,28971,3495.12
1800,600036.SH,20120419,46001,5498.55,32434,3880.13,95762,11448.33,78087,9340.23,129352,15469.2,108227,12945.16,185797,22227.1,238165,28477.65,-7061,-822.86
1799,600036.SH,20120420,54724,6629.36,125880,15262.58,116718,14125.05,166486,20164.77,233244,28246.22,211599,25630.34,517219,62736.78,417940,50679.73,78594,9546.3
1798,600036.SH,20120423,44789,5442.29,48138,5854.68,103284,12550.36,100625,12236.54,115162,13999.42,124783,15167.94,123353,14992.17,113043,13725.06,-12786,-1531.37
1797,600036.SH,20120424,84701,10423.94,136196,16799.51,218271,26850.01,248469,30616.02,247291,30428.09,293608,36182.3,400842,49533.59,272831,33637.8,46281,5761.94
1796,600036.SH,20120425,51964,6385.96,47019,5788.45,111294,13683.82,132924,16356.31,158673,19528.05,163778,20160.3,193198,23795.26,171408,21088.03,-106932,-13133.86
1795,600036.SH,20120426,47072,5757.61,43578,5337.54,107840,13207.62,104772,12835.78,116789,14289.42,105959,12970.49,92280,11303.34,109672,13414.19,-48726,-5949.83
1794,600036.SH,20120427,47165,5754.34,50253,6137.92,138595,16917.07,99067,12106.74,113862,13905.54,107173,13089.81,54516,6671.63,97646,11914.11,-19230,-2322.25
1793,600036.SH,20120502,59984,7426.52,70419,8727.85,133849,16572.55,164121,20328.79,240504,29793.48,173611,21503.58,282178,34983.36,308362,38215.68,80119,9960.59
1792,600036.SH,20120503,55313,6823.96,37068,4575.67,120901,14916.99,100929,12462.32,147706,18241.89,169517,20934.89,136068,16808.77,152475,18818.72,-34540,-4255.82
1791,600036.SH,20120504,45987,5672.26,46467,5749.85,127370,15718.45,123010,15206.49,193811,23937.25,203142,25098.56,253315,31340.8,247864,30613.85,36463,4549.17
1790,600036.SH,20120507,41191,5086.19,58301,7211.25,130556,16124.44,141592,17507.65,220375,27235.46,254739,31484.3,251149,31063.12,188640,23306.02,44895,5605.09
1789,600036.SH,20120508,43068,5323.59,45371,5619.74,162062,20047.78,206470,25566.07,218317,27021.38,166009,20552.26,200632,24853.49,206229,25508.18,87705,10886.79
1788,600036.SH,20120509,84321,10255.5,43415,5286.45,148591,18082.08,168505,20532.35,230998,28127.28,249578,30394.85,302828,36873.16,305240,37124.37,-53765,-6506.6
1787,600036.SH,20120510,55962,6762.18,39766,4809.3,118462,14317.22,78427,9485.71,172497,20853.08,172946,20908.58,170594,20630.96,226375,27359.86,44397,5391.57
1786,600036.SH,20120511,42514,5127.3,22716,2742.21,67278,8120.13,57111,6898.92,138623,16743.63,136762,16521.07,105539,12742.37,137365,16571.23,-33350,-4005.73
1785,600036.SH,20120514,104491,12499.34,44401,5320.12,184076,22046.18,180513,21637.71,205615,24634.4,163435,19592.78,177833,21298.71,283666,33928.02,-80056,-9531.19
1784,600036.SH,20120515,77062,9103.63,43606,5153.72,145063,17150.81,145179,17167.58,158697,18753.6,205572,24292.21,171731,20312.34,158197,18706.88,-52703,-6199.37
1783,600036.SH,20120516,111421,13050.03,31932,3742.96,161929,18984.27,135655,15906.78,140468,16464.74,164946,19332.55,233614,27370.84,314898,36887.6,-139921,-16381.02
1782,600036.SH,20120517,59187,6947.7,42421,4989.2,89512,10510.99,90205,10607.52,103527,12163.9,98690,11592.79,172442,20243.28,193354,22676.37,-1309,-131.87
