,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1868,600036.SH,20120104,8.5444,8.6517,8.3156,8.3442,8.4872,-0.143,-1.6849,522606.17,620703.189,54532,6449.95,35784,4255.43,108156,12811.56,110001,13046.98,173743,20638.54,160381,19050.47,186175,22170.26,216440,25717.43,-38417,-4509.43
1867,600036.SH,20120105,8.3657,8.6445,8.3442,8.5158,8.3442,0.1716,2.0565,840847.02,1006814.678,57596,6893.77,105324,12622.37,176279,21093.68,194031,23229.43,225610,26987.18,261248,31274.76,381361,45706.84,280245,33554.91,72525,8723.91
1866,600036.SH,20120106,8.5301,8.6445,8.4729,8.573,8.5158,0.0572,0.6717,540381.34,646295.13,45675,5459.02,43404,5195.31,112229,13410.01,109215,13059.97,192458,23005.81,227737,27210.14,190019,22754.67,160026,19164.1,-25373,-3000.47
1865,600036.SH,20120109,8.5659,8.9377,8.5087,8.8519,8.573,0.2789,3.2532,960020.09,1181631.414,70317,8664.3,119868,14769.74,183223,22535.13,280628,34519.77,258738,31846.1,281837,34641.57,447743,55117.61,277687,34232.07,94964,11670.11
1864,600036.SH,20120110,8.8519,9.0163,8.7446,8.9806,8.8519,0.1287,1.4539,892045.62,1114071.706,51392,6404.97,103205,12910.36,206484,25754.29,256154,31978.71,241752,30153.82,227960,28462.4,392413,49093.46,304722,38055.06,47346,6044.11
1863,600036.SH,20120111,8.9806,9.0449,8.8733,8.9305,8.9806,-0.0501,-0.5579,387870.32,484750.529,40357,5040.01,49631,6204.1,142397,17795.36,107859,13490.91,125415,15681.32,121641,15202.65,79702,9958.36,108740,13577.4,-25707,-3187.22
1862,600036.SH,20120112,8.9162,9.1164,8.8805,9.0235,8.9305,0.093,1.0414,414193.21,522004.928,33570,4226.08,56481,7127.47,83853,10554.2,121395,15303.27,144946,18250.73,161639,20337.29,151641,19146.43,74496,9409.4,62207,7853.27
1861,600036.SH,20120113,9.002,9.0878,8.8304,8.9305,9.0235,-0.093,-1.0306,481551.2,603520.214,39456,4935.76,47309,5939.43,127032,15933.38,124440,15615.9,203855,25541.73,175159,21967.84,111208,13941.16,134643,16828.84,33827,4286.72
1860,600036.SH,20120116,8.9162,8.9949,8.8447,8.859,8.9305,-0.0715,-0.8006,335932.05,418936.947,26037,3242.88,30241,3771.06,92726,11554.96,80796,10078.3,101507,12662.57,109679,13680.54,115662,14433.29,115216,14363.79,-28402,-3530.67
1859,600036.SH,20120117,8.9019,9.1522,8.6874,9.1379,8.859,0.2789,3.1482,809513.94,1012433.208,62695,7799.33,77425,9761.81,184549,23091.24,189090,23686.15,280895,35183.27,313725,39193.94,281375,35169.47,229274,28601.42,93333,11908.01
