,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1631,002405.SZ,20120626,62155,8021.72,40618,5244.95,53656,6930.01,58135,7508.15,43722,5658.91,54192,7009.05,7939,1034.57,14528,1883.06,-18983,-2441.69
1630,002405.SZ,20120627,80105,9953.24,38486,4786.93,82972,10310.06,72984,9083.91,48348,6004.83,78882,9795.02,3829,473.26,24903,3075.54,-52546,-6497.16
1629,002405.SZ,20120628,58959,7040.03,35173,4203.26,62291,7439.39,64355,7687.8,36547,4368.5,51866,6188.02,1134,136.72,7537,905.56,-30230,-3593.36
1628,002405.SZ,20120629,42239,4923.15,31641,3695.91,49955,5825.38,48748,5690.99,30905,3610.92,44199,5156.85,9489,1113.52,7999,929.22,19393,2284.24
1627,002405.SZ,20120702,42922,5173.62,40456,4891.88,63918,7719.97,69337,8380.21,79368,9598.6,73438,8862.35,7117,853.42,10096,1211.17,4004,488.46
1626,002405.SZ,20120703,40400,4995.15,49525,6132.58,71804,8893.94,68184,8434.65,54949,6803.03,49617,6142.86,5526,681.61,5354,663.63,1946,244.62
1625,002405.SZ,20120704,29295,3666.41,42696,5351.93,47762,5981.74,60417,7567.84,62777,7867.53,44571,5582.93,20886,2625.84,13035,1638.81,9024,1149.25
1624,002405.SZ,20120705,52489,6308.7,28398,3412.23,50544,6082.68,47546,5715.4,24216,2908.97,40707,4889.4,2100,250.11,12697,1533.44,-28801,-3458.17
1623,002405.SZ,20120706,41123,4863.75,36941,4415.59,54796,6498.11,52245,6210.5,31937,3824.04,35389,4186.63,4666,558.83,7947,932.01,-2642,-233.39
1622,002405.SZ,20120709,58241,7297.77,67146,8450.92,75384,9465.24,76831,9666.54,39208,4970.43,38672,4857.43,12745,1600.73,2928,359.29,12375,1584.04
